project_id,project_name,team,owner,kickoff_date,due_date,completed_date,status,budgeted_cost,actual_cost
PROJ-2001,Client Ops Automation 1,Automation,Ada,2025-01-06,2025-01-20,,Blocked,1800,1550
PROJ-2002,Client Ops Automation 2,Data,Mide,2025-01-13,2025-01-30,2025-01-30,Completed,2050,2050
PROJ-2003,Client Ops Automation 3,AI Apps,Tola,2025-01-20,2025-02-09,2025-02-11,Completed,2300,2420
PROJ-2004,Client Ops Automation 4,Client Ops,Sam,2025-01-27,2025-02-19,2025-02-24,Completed,2550,2950
PROJ-2005,Client Ops Automation 5,Automation,Ada,2025-02-03,2025-03-01,2025-02-28,Completed,2800,2700
PROJ-2006,Client Ops Automation 6,Data,Mide,2025-02-10,2025-02-24,2025-03-04,Completed,3050,3700
PROJ-2007,Client Ops Automation 7,AI Apps,Tola,2025-02-17,2025-03-06,2025-03-03,Completed,3300,3050
PROJ-2008,Client Ops Automation 8,Client Ops,Sam,2025-02-24,2025-03-16,2025-03-16,Completed,3550,3550
PROJ-2009,Client Ops Automation 9,Automation,Ada,2025-03-03,2025-03-26,2025-03-28,Completed,1800,1920
PROJ-2010,Client Ops Automation 10,Data,Mide,2025-03-10,2025-04-05,,In Progress,2050,2450
PROJ-2011,Client Ops Automation 11,AI Apps,Tola,2025-03-17,2025-03-31,2025-03-30,Completed,2300,2200
PROJ-2012,Client Ops Automation 12,Client Ops,Sam,2025-03-24,2025-04-10,2025-04-18,Completed,2550,3200
PROJ-2013,Client Ops Automation 13,Automation,Ada,2025-03-31,2025-04-20,2025-04-17,Completed,2800,2550
PROJ-2014,Client Ops Automation 14,Data,Mide,2025-04-07,2025-04-30,2025-04-30,Completed,3050,3050
PROJ-2015,Client Ops Automation 15,AI Apps,Tola,2025-04-14,2025-05-10,2025-05-12,Completed,3300,3420
PROJ-2016,Client Ops Automation 16,Client Ops,Sam,2025-04-21,2025-05-05,2025-05-10,Completed,3550,3950
PROJ-2017,Client Ops Automation 17,Automation,Ada,2025-04-28,2025-05-15,2025-05-14,Completed,1800,1700
PROJ-2018,Client Ops Automation 18,Data,Mide,2025-05-05,2025-05-25,,Blocked,2050,2700
PROJ-2019,Client Ops Automation 19,AI Apps,Tola,2025-05-12,2025-06-04,,In Progress,2300,2050
